Catégorie;Numéro;Nom;Race;Sexe;Description;Background;Prompt
Château/Palais;6;Darian "Le Chambellan";Humain;Homme;Un chambellan organisé avec des vêtements formels, portant un registre.;Gère les affaires quotidiennes du palais. Cherche à résoudre des disparitions mystérieuses parmi le personnel du palais.;D&D character design, an organized human chamberlain with formal attire, wearing a ledger, managing palace affairs in a grand hall.
Château/Palais;7;Eira "La Diplomate";Elfe;Femme;Une diplomate élégante avec des robes sophistiquées, portant un collier de perles.;Négocie des alliances et des traités avec d'autres royaumes. Cherche à éviter une guerre imminente par des négociations habiles.;D&D character design, an elegant elven diplomat with sophisticated robes, wearing a pearl necklace, negotiating treaties in a grand council chamber.
Château/Palais;8;Finn "Le Maître des Réjouissances";Humain;Homme;Un maître des réjouissances avec des vêtements colorés, portant un chapeau festif.;Organise les fêtes et les célébrations royales. Cherche à impressionner le roi avec une fête grandiose pour célébrer un jubilé important.;D&D character design, a festive human master of revels with colorful clothes, wearing a festive hat, organizing royal celebrations in a grand banquet hall.
Château/Palais;9;Gwendolyn "La Gouvernante";Humaine;Femme;Une gouvernante stricte avec des vêtements sobres, portant un trousseau de clés.;Supervise le personnel du palais. Cherche à maintenir l'ordre et la discipline parmi les serviteurs, tout en protégeant un secret royal.;D&D character design, a strict human housekeeper with sober clothes, wearing a set of keys, supervising palace staff in a busy corridor.
Château/Palais;10;Hector "Le Héraut";Humain;Homme;Un héraut avec une trompette et des vêtements cérémoniels.;Annonce les proclamations royales et les événements importants. Cherche à devenir le héraut personnel du roi, malgré la concurrence féroce.;D&D character design, a human herald with a trumpet and ceremonial attire, announcing royal proclamations in a grand courtyard.
Guilde/Atelier;3;Thalia "La Forgeronne";Humaine;Femme;Une forgeronne robuste avec un tablier de cuir, portant des gants de protection.;Forge des armes et des armures de haute qualité. Cherche à créer l'épée parfaite pour un champion légendaire.;D&D character design, a robust human blacksmith with a leather apron, wearing protective gloves, hammering a glowing piece of metal in a fiery forge.
Guilde/Atelier;4;Eldred "L'Alchimiste";Halfelin;Homme;Un alchimiste ingénieux avec des lunettes de protection, portant une blouse tachée.;Expérimente avec des potions et des élixirs. Cherche à découvrir une formule magique pour guérir une maladie incurable.;D&D character design, a clever halfling alchemist with protective goggles, wearing a stained lab coat, mixing colorful liquids in a cluttered workshop.
Guilde/Atelier;5;Lysandra "La Tailleuse";Elfe;Femme;Une tailleuse talentueuse avec des aiguilles et du fil, portant des vêtements élégants.;Crée des vêtements sur mesure pour la noblesse. Cherche à confectionner la robe parfaite pour le bal royal à venir.;D&D character design, a talented elven seamstress with needles and thread, wearing elegant clothes, crafting custom garments in a well-lit atelier.
Guilde/Atelier;6;Gareth "Le Menuisier";Humain;Homme;Un menuisier habile avec des outils de menuiserie, portant un tablier de travail.;Crée des meubles et des structures en bois. Cherche à construire un meuble unique pour un client exigeant, utilisant un bois rare.;D&D character design, a skilled human carpenter with woodworking tools, wearing a work apron, crafting furniture in a busy workshop.
Guilde/Atelier;7;Mirella "La Sculptrice";Elfe;Femme;Une sculptrice talentueuse avec des outils de sculpture, portant des vêtements tachés de pierre.;Crée des statues et des œuvres d'art en pierre. Cherche à sculpter une statue monumentale pour honorer un héros local.;D&D character design, a talented elven sculptor with sculpting tools, wearing stone-stained clothes, crafting statues in a dusty studio.
Guilde/Atelier;8;Oswald "Le Verrier";Humain;Homme;Un verrier talentueux avec des outils de verrerie, portant des vêtements protecteurs.;Crée des objets en verre délicats. Cherche à créer une pièce de verre parfaite pour une exposition royale.;D&D character design, a skilled human glassblower with glassworking tools, wearing protective clothes, crafting delicate glass objects in a hot workshop.
Guilde/Atelier;9;Cassandra "La Tisserande";Humaine;Femme;Une tisserande habile avec un métier à tisser, portant des vêtements simples.;Crée des tissus et des tapisseries complexes. Cherche à tisser une tapisserie racontant l'histoire épique d'un héros oublié.;D&D character design, a skilled human weaver with a loom, wearing simple clothes, weaving intricate tapestries in a quiet studio.
Guilde/Atelier;10;Benedict "Le Tanneur";Humain;Homme;Un tanneur robuste avec des outils de tannage, portant un tablier de cuir.;Traite les peaux pour en faire du cuir. Cherche à créer le cuir le plus fin pour une commande spéciale d'un noble.;D&D character design, a robust human tanner with tanning tools, wearing a leather apron, treating hides in a busy tannery.
Militaire;1;Thalia "La Capitaine";Humaine;Femme;Une capitaine déterminée avec une armure polie, portant une épée.;Commande une unité de soldats d'élite. Cherche à protéger les frontières du royaume contre les invasions ennemies.;D&D character design, a determined human captain with polished armor, wearing a sword, leading troops on a fortified border.
Militaire;2;Eldred "Le Sergent";Halfelin;Homme;Un sergent rigoureux avec une armure légère, portant un bouclier.;Entraîne les nouvelles recrues pour le combat. Cherche à former la prochaine génération de héros pour défendre la patrie.;D&D character design, a rigorous halfling sergeant with light armor, wearing a shield, training recruits in a military camp.
Militaire;3;Lysandra "L'Éclaireuse";Elfe;Femme;Une éclaireuse agile avec un arc long, portant des vêtements de camouflage.;Patrouille les territoires ennemis pour recueillir des informations. Cherche à découvrir les plans de bataille de l'ennemi pour anticiper leurs mouvements.;D&D character design, an agile elven scout with a longbow, wearing camouflage clothes, scouting enemy territories for intelligence.
Militaire;4;Gareth "Le Chevalier";Humain;Homme;Un chevalier loyal avec une armure de plaques, portant une lance.;Défend le royaume avec honneur et bravoure. Cherche à prouver sa valeur sur le champ de bataille et à gagner le respect de ses pairs.;D&D character design, a loyal human knight with plate armor, wearing a lance, defending the kingdom on the battlefield.
Militaire;5;Mirella "La Guérisseuse de Guerre";Elfe;Femme;Une guérisseuse de guerre avec un bâton de soin, portant des robes ornées de symboles sacrés.;Soigne les blessés sur le champ de bataille. Cherche à développer de nouvelles techniques de guérison pour sauver plus de vies.;D&D character design, a war healer with a healing staff, wearing robes adorned with sacred symbols, tending to the wounded on the battlefield.
Militaire;6;Oswald "L'Ingénieur";Humain;Homme;Un ingénieur militaire avec des outils de construction, portant une armure légère.;Conçoit et construit des fortifications et des engins de siège. Cherche à créer des défenses imprenables pour protéger le royaume.;D&D character design, a military engineer with construction tools, wearing light armor, designing fortifications and siege engines.
Militaire;7;Cassandra "L'Espionne";Humaine;Femme;Une espionne discrète avec des vêtements sombres, portant des dagues cachées.;Infiltre les lignes ennemies pour recueillir des informations cruciales. Cherche à déjouer un complot visant à renverser le gouvernement.;D&D character design, a discreet human spy with dark clothes, wearing hidden daggers, infiltrating enemy lines to gather intelligence.
Militaire;8;Benedict "Le Stratège";Humain;Homme;Un stratège avisé avec une carte de bataille, portant des vêtements formels.;Élabore des plans de bataille pour l'armée. Cherche à anticiper les mouvements de l'ennemi et à mener le royaume vers la victoire.;D&D character design, a wise human strategist with a battle map, wearing formal attire, planning military strategies in a war room.
Militaire;9;Leonard "Le Lieutenant";Humain;Homme;Un lieutenant courageux avec une armure de combat, portant une épée longue.;Mène les troupes au front avec bravoure. Cherche à inspirer ses soldats et à les guider vers la victoire.;D&D character design, a brave human lieutenant with combat armor, wearing a longsword, leading troops on the front lines.
Militaire;10;Sister Amelia "La Chapelaine";Halfeline;Femme;Une chapelaine dévouée avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel aux soldats. Cherche à maintenir le moral des troupes et à les guider dans les moments de doute.;D&D character design, a devoted halfling chaplain with sacred robes, wearing a divine symbol, offering spiritual support to soldiers in a military chapel.
Bibliothèque Ancienne;11;Evelyn "La Linguiste";Humaine;Femme;Une linguiste passionnée avec des livres anciens, portant des lunettes.;Étudie les langues anciennes pour déchiffrer des textes oubliés. Cherche à découvrir un dialecte perdu qui pourrait révéler des secrets anciens.;D&D character design, a passionate human linguist with glasses, surrounded by ancient books, deciphering forgotten texts.
Bibliothèque Ancienne;12;Fergus "Le Cartographe Maladroit";Humain;Homme;Un cartographe maladroit avec des outils de dessin, portant des vêtements tachés d'encre.;Crée des cartes imprécises qui mènent souvent à des impasses. Cherche à améliorer ses compétences malgré ses erreurs fréquentes.;D&D character design, a clumsy human cartographer with drawing tools, wearing ink-stained clothes, struggling to create accurate maps.
Bibliothèque Ancienne;13;Margaret "L'Historienne Bavarde";Humaine;Femme;Une historienne bavarde avec des notes éparses, portant une robe froissée.;Raconte des anecdotes historiques interminables. Cherche à captiver son auditoire, même si cela signifie ennuyer tout le monde.;D&D character design, a talkative human historian with scattered notes, wearing a wrinkled robe, sharing endless historical anecdotes.
Bibliothèque Ancienne;14;Oliver "Le Philosophe Pessimiste";Humain;Homme;Un philosophe pessimiste avec des livres de sagesse, portant des vêtements négligés.;Réfléchit sur les aspects sombres de l'existence. Cherche à convaincre les autres que tout effort est vain.;D&D character design, a pessimistic human philosopher with wisdom books, wearing neglected clothes, contemplating life's darker aspects.
Bibliothèque Ancienne;15;Clara "La Calligraphe Perfectionniste";Humaine;Femme;Une calligraphe perfectionniste avec une plume et de l'encre, portant des vêtements impeccables.;Crée des manuscrits ornés mais prend tellement de temps qu'elle rate souvent les délais. Cherche à atteindre la perfection, même si cela signifie travailler sans relâche.;D&D character design, a perfectionist human calligrapher with a quill and ink, wearing impeccable clothes, crafting ornate manuscripts slowly.
Bibliothèque Ancienne;16;Reginald "Le Bibliophile Radin";Humain;Homme;Un bibliophile radin avec une collection de livres rares, portant des vêtements usés.;Collectionne des livres rares mais refuse de les prêter à quiconque. Cherche à protéger ses trésors littéraires à tout prix.;D&D character design, a stingy human bibliophile with a collection of rare books, wearing worn clothes, guarding his literary treasures.
Bibliothèque Ancienne;17;Nolan "Le Cryptographe Paranoïaque";Halfelin;Homme;Un cryptographe paranoïaque avec des outils de décryptage, portant des vêtements sombres.;Décrypte des codes anciens mais croit que tout le monde essaie de voler ses découvertes. Cherche à protéger ses secrets, même de ses alliés.;D&D character design, a paranoid halfling cryptographer with decryption tools, wearing dark clothes, guarding his secrets closely.
Bibliothèque Ancienne;18;Aria "La Copiste Distraite";Elfe;Femme;Une copiste distraite avec une plume et un encrier, portant des vêtements tachés d'encre.;Copie des manuscrits anciens mais fait souvent des erreurs. Cherche à se concentrer davantage, mais son esprit vagabonde constamment.;D&D character design, a distracted elven scribe with a quill and inkwell, wearing ink-stained clothes, making frequent mistakes while copying manuscripts.
Bibliothèque Ancienne;19;Edgar "Le Conservateur Maladroit";Humain;Homme;Un conservateur maladroit avec des outils de restauration, portant des vêtements tachés.;Restaure les manuscrits anciens mais cause souvent plus de dégâts qu'il n'en répare. Cherche à améliorer ses compétences malgré ses maladresses.;D&D character design, a clumsy human conservator with restoration tools, wearing stained clothes, accidentally damaging manuscripts while trying to restore them.
Bibliothèque Ancienne;20;Beatrice "L'Érudite Excentrique";Humaine;Femme;Une érudite excentrique avec des lunettes de travers, portant une robe bariolée.;Étudie des textes anciens mais a des théories farfelues sur leur signification. Cherche à convaincre les autres de ses idées, même si elles semblent absurdes.;D&D character design, an eccentric human scholar with crooked glasses, wearing a colorful robe, sharing outlandish theories about ancient texts.
Temple/Église;11;Roderick "Le Prêtre Hypocrite";Humain;Homme;Un prêtre hypocrite avec des robes sacrées, portant un symbole divin.;Prêche la charité mais vit dans le luxe. Cherche à maintenir son statut social tout en évitant les critiques.;D&D character design, a hypocritical human priest with sacred robes, wearing a divine symbol, preaching charity while living in luxury.
Temple/Église;12;Sister Felicity "La Nonne Rebelle";Halfeline;Femme;Une nonne rebelle avec un voile, portant des robes simples.;Aide les pauvres mais défie souvent les règles du monastère. Cherche à apporter des changements dans l'ordre religieux, même si cela signifie désobéir.;D&D character design, a rebellious halfling nun with a veil, wearing simple robes, defying monastery rules to help the poor.
Temple/Église;13;Brother Cedric "Le Moine Gourmand";Elfe;Homme;Un moine gourmand avec une bedaine, portant des vêtements simples.;Vit une vie de contemplation mais ne peut résister aux plaisirs de la table. Cherche à justifier ses excès en les présentant comme des offrandes divines.;D&D character design, an indulgent elven monk with a belly, wearing simple clothes, justifying his overindulgence as divine offerings.
Temple/Église;14;Darius "Le Confesseur Indiscret";Humain;Homme;Un confesseur indiscret avec une expression curieuse, portant des robes sacrées.;Écoute les confessions mais répand souvent les secrets entendus. Cherche à utiliser les informations pour son propre avantage.;D&D character design, an indiscreet human confessor with a curious expression, wearing sacred robes, spreading secrets heard in confession.
Temple/Église;15;Elara "La Chanteuse Sacrée Dissonante";Elfe;Femme;Une chanteuse sacrée avec une voix désaccordée, portant des robes sacrées.;Chante des hymnes sacrés mais manque souvent de justesse. Cherche à améliorer sa voix, mais ses efforts sont souvent vains.;D&D character design, an off-key elven sacred singer with sacred robes, struggling to sing hymns in tune.
Temple/Église;16;Gerald "Le Gardien du Temple Endormi";Humain;Homme;Un gardien du temple souvent endormi, portant une armure légère.;Protège le temple mais s'endort souvent pendant son service. Cherche à rester éveillé, mais la fatigue le rattrape toujours.;D&D character design, a sleepy human temple guard with light armor, struggling to stay awake during his watch.
Temple/Église;17;Hilda "La Guérisseuse Maladroite";Humaine;Femme;Une guérisseuse maladroite avec des herbes médicinales, portant des robes tachées.;Soigne les malades mais fait souvent plus de dégâts qu'autre chose. Cherche à améliorer ses compétences, mais ses mains tremblent sous la pression.;D&D character design, a clumsy human healer with medicinal herbs, wearing stained robes, accidentally causing more harm than good.
Temple/Église;18;Ivor "Le Missionnaire Perdu";Humain;Homme;Un missionnaire perdu avec un bâton de marche, portant des vêtements de voyage usés.;Voyage pour répandre la foi mais se perd souvent en chemin. Cherche à retrouver son chemin, tant littéralement que spirituellement.;D&D character design, a lost human missionary with a walking staff, wearing worn travel clothes, frequently losing his way.
Temple/Église;19;Jocelyn "La Chapelaine Sceptique";Humaine;Femme;Une chapelaine sceptique avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel mais doute souvent de sa propre foi. Cherche à retrouver sa foi tout en aidant les autres à trouver la leur.;D&D character design, a skeptical human chaplain with sacred robes, wearing a divine symbol, questioning her own faith while supporting others.
Temple/Église;20;Kendrick "Le Prêtre Excentrique";Humain;Homme;Un prêtre excentrique avec des robes colorées, portant des accessoires étranges.;Prêche des sermons inhabituels qui laissent souvent les fidèles perplexes. Cherche à apporter une nouvelle perspective à la foi, même si cela signifie défier les traditions.;D&D character design, an eccentric human priest with colorful robes, wearing strange accessories, delivering unusual sermons that puzzle the faithful.
Port/Quai;11;Adeline "La Capitaine Émérite";Humaine;Femme;Une capitaine émérite avec une veste de marin usée, portant un tricorne cabossé.;Navigue les mers avec une expérience inégalée. Cherche à transmettre son savoir aux jeunes marins, même si ses méthodes sont parfois brutales.;D&D character design, an experienced human captain with a worn sailor's coat and a battered tricorne, commanding respect on the high seas.
Port/Quai;12;Eamon "Le Marchand Rusé";Halfelin;Homme;Un marchand rusé avec un sourire malicieux, portant des vêtements de voyage tachés.;Commerce avec des marchandises exotiques mais est connu pour arnaquer ses clients. Cherche à maximiser ses profits, même si cela signifie tromper les autres.;D&D character design, a cunning halfling merchant with a sly smile, wearing stained travel clothes, swindling customers with exotic goods.
Port/Quai;13;Lydia "La Pêcheuse Malchanceuse";Elfe;Femme;Une pêcheuse malchanceuse avec un filet troué, portant des vêtements usés.;Pêche dans les eaux du port mais attrape rarement quelque chose. Cherche à améliorer sa chance, mais le destin semble toujours contre elle.;D&D character design, an unlucky elven fisherwoman with a torn net, wearing worn clothes, struggling to catch anything in the harbor waters.
Port/Quai;14;Gideon "Le Contremaître Corrompu";Humain;Homme;Un contremaître corrompu avec un fouet, portant des vêtements de travail sales.;Supervise le chargement et le déchargement des navires mais accepte des pots-de-vin. Cherche à enrichir ses propres poches, même si cela signifie trahir ses responsabilités.;D&D character design, a corrupt human foreman with a whip, wearing dirty work clothes, accepting bribes while overseeing ship loading.
Port/Quai;15;Miranda "La Cartographe Rêveuse";Elfe;Femme;Une cartographe rêveuse avec des outils de dessin, portant des vêtements fantaisistes.;Crée des cartes de terres imaginaires plutôt que de se concentrer sur des lieux réels. Cherche à inspirer les autres avec ses créations, même si elles ne sont pas pratiques.;D&D character design, a dreamy elven cartographer with drawing tools, wearing whimsical clothes, creating maps of imaginary lands.
Port/Quai;16;Otto "Le Charpentier de Marine Paresseux";Humain;Homme;Un charpentier de marine paresseux avec des outils de menuiserie, portant des vêtements de travail tachés.;Répare et construit des navires mais prend souvent des pauses prolongées. Cherche à trouver un équilibre entre travail et détente, même si cela signifie négliger ses tâches.;D&D character design, a lazy human shipwright with carpentry tools, wearing stained work clothes, taking frequent breaks while repairing ships.
Port/Quai;17;Cordelia "La Matelote Créative";Humaine;Femme;Une matelote créative avec un tablier coloré, portant des vêtements simples.;Prépare des repas pour les marins mais expérimente souvent avec des ingrédients étranges. Cherche à surprendre les marins avec ses créations culinaires, même si elles ne sont pas toujours appréciées.;D&D character design, a creative human cook with a colorful apron, wearing simple clothes, experimenting with strange ingredients in the ship's galley.
Port/Quai;18;Bernard "Le Dockworker Maladroit";Humain;Homme;Un dockworker maladroit avec des gants de travail usés, portant des vêtements tachés.;Charge et décharge les marchandises des navires mais cause souvent des accidents. Cherche à améliorer ses compétences, mais sa maladresse le rattrape toujours.;D&D character design, a clumsy human dockworker with worn work gloves, wearing stained clothes, causing accidents while loading and unloading cargo.
Port/Quai;19;Lydia "La Capitaine Pirate";Humaine;Femme;Une capitaine pirate avec une veste de marin déchirée, portant un bandana.;Navigue les mers à la recherche de trésors à piller. Cherche à éviter les autorités tout en augmentant sa richesse.;D&D character design, a pirate human captain with a torn sailor's coat and a bandana, commanding a crew of rogues on the high seas.
Port/Quai;20;Felix "Le Contrebandier";Halfelin;Homme;Un contrebandier avec des vêtements discrets, portant un bandana.;Fait passer des marchandises illégales à travers les ports. Cherche à éviter les autorités tout en maximisant ses profits.;D&D character design, a halfling smuggler with nondescript clothes and a bandana, sneaking contraband through busy ports.
Château/Palais;11;Vivian "La Conseillère Ambitieuse";Humaine;Femme;Une conseillère ambitieuse avec des robes élégantes, portant un insigne royal.;Conseille le roi sur les affaires d'État mais cherche secrètement à prendre sa place. Cherche à manipuler les événements pour atteindre ses objectifs personnels.;D&D character design, an ambitious human advisor with elegant robes, wearing a royal insignia, whispering advice to the king with hidden motives.
Château/Palais;12;Gerard "Le Sergent de la Garde";Halfelin;Homme;Un sergent de la garde avec une armure légère, portant un bouclier.;Entraîne les nouvelles recrues mais est connu pour son tempérament explosif. Cherche à maintenir la discipline, même si cela signifie être craint plutôt que respecté.;D&D character design, an explosive halfling sergeant with light armor, wearing a shield, shouting orders at recruits in the training yard.
Château/Palais;13;Lavinia "La Dame de Compagnie Intrigante";Elfe;Femme;Une dame de compagnie intrigante avec des robes raffinées, portant un diadème.;Accompagne la reine dans ses devoirs royaux mais complote secrètement contre elle. Cherche à gagner la confiance de la reine tout en travaillant contre ses intérêts.;D&D character design, an intriguing elven lady-in-waiting with refined robes, wearing a diadem, accompanying the queen with hidden agendas.
Château/Palais;14;Godfrey "Le Chevalier Déchu";Humain;Homme;Un chevalier déchu avec une armure de plaques ternie, portant une lance brisée.;Autrefois loyal, il a été banni pour trahison. Cherche à retrouver son honneur perdu, même si cela signifie défier l'autorité royale.;D&D character design, a disgraced human knight with tarnished plate armor, wearing a broken lance, seeking to regain his lost honor.
Château/Palais;15;Melisande "La Diplomate Manipulatrice";Elfe;Femme;Une diplomate manipulatrice avec des robes sophistiquées, portant un collier de perles.;Négocie des alliances et des traités mais utilise souvent des tactiques sournoises. Cherche à manipuler les événements pour servir ses propres intérêts.;D&D character design, a manipulative elven diplomat with sophisticated robes, wearing a pearl necklace, negotiating treaties with cunning tactics.
Château/Palais;16;Oliver "Le Maître des Réjouissances Excentrique";Humain;Homme;Un maître des réjouissances excentrique avec des vêtements colorés, portant un chapeau festif.;Organise les fêtes et les célébrations royales mais ses idées sont souvent trop extravagantes. Cherche à impressionner le roi avec des spectacles grandioses, même si cela dépasse le budget.;D&D character design, an eccentric human master of revels with colorful clothes, wearing a festive hat, planning over-the-top celebrations in the grand banquet hall.
Château/Palais;17;Cassio "La Gouvernante Stricte";Humaine;Femme;Une gouvernante stricte avec des vêtements sobres, portant un trousseau de clés.;Supervise le personnel du palais avec une main de fer. Cherche à maintenir l'ordre, même si cela signifie être impitoyable envers les serviteurs.;D&D character design, a strict human housekeeper with sober clothes, wearing a set of keys, enforcing order among the palace staff with an iron fist.
Château/Palais;18;Benedict "Le Héraut Prétentieux";Humain;Homme;Un héraut prétentieux avec une trompette et des vêtements cérémoniels.;Annonce les proclamations royales avec une arrogance démesurée. Cherche à se faire remarquer par le roi, même si cela signifie exagérer ses propres exploits.;D&D character design, a pretentious human herald with a trumpet and ceremonial attire, announcing royal proclamations with exaggerated flair.
Château/Palais;19;Lydia "Le Chambellan Corrompu";Humaine;Femme;Une chambellane corrompue avec des vêtements formels, portant un registre.;Gère les affaires quotidiennes du palais mais accepte des pots-de-vin. Cherche à enrichir ses propres poches, même si cela signifie trahir ses responsabilités.;D&D character design, a corrupt human chamberlain with formal attire, wearing a ledger, managing palace affairs while accepting bribes.
Château/Palais;20;Felicity "La Chapelaine Douteuse";Halfeline;Femme;Une chapelaine douteuse avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel mais doute souvent de sa propre foi. Cherche à retrouver sa foi tout en aidant les autres à trouver la leur.;D&D character design, a doubtful halfling chaplain with sacred robes, wearing a divine symbol, questioning her own faith while supporting others.
Guilde/Atelier;11;Adrian "Le Forgeron Perfectionniste";Humain;Homme;Un forgeron perfectionniste avec un tablier de cuir, portant des gants de protection.;Forge des armes et des armures de haute qualité. Cherche à créer l'épée parfaite pour un champion légendaire.;D&D character design, a perfectionist human blacksmith with a leather apron, wearing protective gloves, hammering a glowing piece of metal in a fiery forge.
Guilde/Atelier;12;Freya "L'Alchimiste Ingénieuse";Halfeline;Femme;Une alchimiste ingénieuse avec des lunettes de protection, portant une blouse tachée.;Expérimente avec des potions et des élixirs. Cherche à découvrir une formule magique pour guérir une maladie incurable.;D&D character design, a clever halfling alchemist with protective goggles, wearing a stained lab coat, mixing colorful liquids in a cluttered workshop.
Guilde/Atelier;13;Lyra "La Tailleuse Créative";Elfe;Femme;Une tailleuse créative avec des aiguilles et du fil, portant des vêtements élégants.;Crée des vêtements sur mesure pour la noblesse. Cherche à confectionner la robe parfaite pour le bal royal à venir.;D&D character design, a creative elven seamstress with needles and thread, wearing elegant clothes, crafting custom garments in a well-lit atelier.
Guilde/Atelier;14;Gareth "Le Menuisier Habile";Humain;Homme;Un menuisier habile avec des outils de menuiserie, portant un tablier de travail.;Crée des meubles et des structures en bois. Cherche à construire un meuble unique pour un client exigeant, utilisant un bois rare.;D&D character design, a skilled human carpenter with woodworking tools, wearing a work apron, crafting furniture in a busy workshop.
Guilde/Atelier;15;Mirabelle "La Sculptrice Talentueuse";Elfe;Femme;Une sculptrice talentueuse avec des outils de sculpture, portant des vêtements tachés de pierre.;Crée des statues et des œuvres d'art en pierre. Cherche à sculpter une statue monumentale pour honorer un héros local.;D&D character design, a talented elven sculptor with sculpting tools, wearing stone-stained clothes, crafting statues in a dusty studio.
Guilde/Atelier;16;Oswald "Le Verrier Talentueux";Humain;Homme;Un verrier talentueux avec des outils de verrerie, portant des vêtements protecteurs.;Crée des objets en verre délicats. Cherche à créer une pièce de verre parfaite pour une exposition royale.;D&D character design, a skilled human glassblower with glassworking tools, wearing protective clothes, crafting delicate glass objects in a hot workshop.
Guilde/Atelier;17;Cassandra "La Tisserande Habile";Humaine;Femme;Une tisserande habile avec un métier à tisser, portant des vêtements simples.;Crée des tissus et des tapisseries complexes. Cherche à tisser une tapisserie racontant l'histoire épique d'un héros oublié.;D&D character design, a skilled human weaver with a loom, wearing simple clothes, weaving intricate tapestries in a quiet studio.
Guilde/Atelier;18;Benedict "Le Tanneur Robuste";Humain;Homme;Un tanneur robuste avec des outils de tannage, portant un tablier de cuir.;Traite les peaux pour en faire du cuir. Cherche à créer le cuir le plus fin pour une commande spéciale d'un noble.;D&D character design, a robust human tanner with tanning tools, wearing a leather apron, treating hides in a busy tannery.
Guilde/Atelier;19;Adeline "La Forgeronne Maladroite";Humaine;Femme;Une forgeronne maladroite avec un tablier de cuir, portant des gants de protection.;Forge des armes et des armures mais cause souvent des accidents. Cherche à améliorer ses compétences malgré ses maladresses.;D&D character design, a clumsy human blacksmith with a leather apron, wearing protective gloves, causing accidents while hammering metal in a fiery forge.
Guilde/Atelier;20;Felix "L'Alchimiste Distrait";Halfelin;Homme;Un alchimiste distrait avec des lunettes de protection, portant une blouse tachée.;Expérimente avec des potions et des élixirs mais fait souvent des erreurs. Cherche à se concentrer davantage, mais son esprit vagabonde constamment.;D&D character design, a distracted halfling alchemist with protective goggles, wearing a stained lab coat, making frequent mistakes while mixing liquids in a cluttered workshop.
Militaire;11;Adrian "Le Capitaine Valeureux";Humain;Homme;Un capitaine valeureux avec une armure polie, portant une épée.;Commande une unité de soldats d'élite. Cherche à protéger les frontières du royaume contre les invasions ennemies.;D&D character design, a valiant human captain with polished armor, wearing a sword, leading troops on a fortified border.
Militaire;12;Freya "La Sergente Stricte";Halfeline;Femme;Une sergente stricte avec une armure légère, portant un bouclier.;Entraîne les nouvelles recrues pour le combat. Cherche à maintenir la discipline, même si cela signifie être crainte plutôt que respectée.;D&D character design, a strict halfling sergeant with light armor, wearing a shield, shouting orders at recruits in the training yard.
Militaire;13;Lyra "L'Éclaireuse Agile";Elfe;Femme;Une éclaireuse agile avec un arc long, portant des vêtements de camouflage.;Patrouille les territoires ennemis pour recueillir des informations. Cherche à découvrir les plans de bataille de l'ennemi pour anticiper leurs mouvements.;D&D character design, an agile elven scout with a longbow, wearing camouflage clothes, scouting enemy territories for intelligence.
Militaire;14;Gareth "Le Chevalier Loyal";Humain;Homme;Un chevalier loyal avec une armure de plaques, portant une lance.;Défend le royaume avec honneur et bravoure. Cherche à prouver sa valeur sur le champ de bataille et à gagner le respect de ses pairs.;D&D character design, a loyal human knight with plate armor, wearing a lance, defending the kingdom on the battlefield.
Militaire;15;Mirabelle "La Guérisseuse de Guerre Dévouée";Elfe;Femme;Une guérisseuse de guerre dévouée avec un bâton de soin, portant des robes ornées de symboles sacrés.;Soigne les blessés sur le champ de bataille. Cherche à développer de nouvelles techniques de guérison pour sauver plus de vies.;D&D character design, a devoted war healer with a healing staff, wearing robes adorned with sacred symbols, tending to the wounded on the battlefield.
Militaire;16;Oswald "L'Ingénieur Innovant";Humain;Homme;Un ingénieur innovant avec des outils de construction, portant une armure légère.;Conçoit et construit des fortifications et des engins de siège. Cherche à créer des défenses imprenables pour protéger le royaume.;D&D character design, an innovative human engineer with construction tools, wearing light armor, designing fortifications and siege engines.
Militaire;17;Cassandra "L'Espionne Discrète";Humaine;Femme;Une espionne discrète avec des vêtements sombres, portant des dagues cachées.;Infiltre les lignes ennemies pour recueillir des informations cruciales. Cherche à déjouer un complot visant à renverser le gouvernement.;D&D character design, a discreet human spy with dark clothes, wearing hidden daggers, infiltrating enemy lines to gather intelligence.
Militaire;18;Benedict "Le Stratège Visionnaire";Humain;Homme;Un stratège visionnaire avec une carte de bataille, portant des vêtements formels.;Élabore des plans de bataille pour l'armée. Cherche à anticiper les mouvements de l'ennemi et à mener le royaume vers la victoire.;D&D character design, a visionary human strategist with a battle map, wearing formal attire, planning military strategies in a war room.
Militaire;19;Adeline "Le Lieutenant Courageux";Humaine;Femme;Un lieutenant courageux avec une armure de combat, portant une épée longue.;Mène les troupes au front avec bravoure. Cherche à inspirer ses soldats et à les guider vers la victoire.;D&D character design, a brave human lieutenant with combat armor, wearing a longsword, leading troops on the front lines.
Militaire;20;Felix "Le Chapelain Fervent";Halfelin;Homme;Un chapelain fervent avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel aux soldats. Cherche à maintenir le moral des troupes et à les guider dans les moments de doute.;D&D character design, a fervent halfling chaplain with sacred robes, wearing a divine symbol, offering spiritual support to soldiers on the battlefield.
